GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
339456,1,1839029,1860740,38,3,484,-0.97882,0.83617,1.20990552051862,0.05
85452,1,1843390,1945276,154,10,546,-0.60627,0.72783,0.838399541223064,0.157777777777778
2563,1,1940768,1972192,17,1,603,-1.0655,0.85667,0.701561043366517,0.172222222222222
5590,1,1971909,2126834,305,16,843,1.6471,0.049773,1.44435671403672,0.157222222222222
199990,1,2105899,2154159,62,11,787,-0.50103,0.69182,-1.09305971949859,0.646666666666667
6497,1,2150134,2251652,180,26,763,-0.93096,0.82406,1.82366384703183,0.0683333333333333
79906,1,2241719,2333190,245,34,696,-1.6188,0.94725,0.372922463279718,0.247777777777778
11079,1,2313214,2346883,56,12,791,-0.20772,0.58227,-0.432302270369058,0.437777777777778
5192,1,2326241,2354010,33,6,811,0.065084,0.47405,1.01537491006551,0.193888888888889
9651,1,2397754,2446964,71,8,706,-1.346,0.91085,1.2735252598723,0.0533333333333334
55229,1,2429975,2468061,62,5,763,-0.9875,0.8383,0.212052220179406,0.253888888888889
388585,1,2450184,2471684,25,4,600,-0.64783,0.74145,-0.303707589551781,0.377777777777778
8764,1,2477291,2505268,42,2,882,-0.022764,0.50908,1.1082811918465,0.0588888888888889
127281,1,2507899,2532908,62,4,913,0.26569,0.39524,-0.546474205195799,0.465
79258,1,2512078,2574499,143,4,904,0.41516,0.33901,2.21439817515824,0.01
100287898,1,2562807,2716230,117,9,856,0.30657,0.37959,1.03846255030691,0.116111111111111
140625,1,2928046,2949467,40,2,895,0.86374,0.19387,0.700141877133608,0.123888888888889
63976,1,2975565,3365185,830,95,758,-0.088942,0.53544,1.93480059550353,0.0211111111111111
27237,1,3361147,3407677,80,6,926,0.70895,0.23918,2.22927196690021,0.0155555555555556
1953,1,3394506,3538059,283,38,676,-0.12424,0.54944,1.45151699708488,0.0333333333333333
127262,1,3531556,3556695,39,5,580,0.066116,0.47364,1.45530855261653,0.127222222222222
49856,1,3537331,3576671,35,4,633,0.0094913,0.49621,-0.347475147780895,0.314444444444444
7161,1,3559129,3662765,134,22,702,-0.17928,0.57114,0.896569718801322,0.117222222222222
148870,1,3658965,3698209,113,15,812,-0.31617,0.62406,-1.06193668279165,0.607222222222222
388588,1,3679352,3702546,82,8,771,-1.1414,0.87315,-0.842233321496281,0.542222222222222
57470,1,3686784,3723068,125,13,796,-1.287,0.90096,-1.05905329238203,0.606666666666667
9731,1,3718645,3783797,274,10,857,-0.30187,0.61863,1.90406609074674,0.0205555555555556
1677,1,3763845,3811993,217,22,825,-1.0597,0.85535,0.195481322609261,0.226666666666667
339448,1,3795697,3826857,95,9,865,-0.27598,0.60872,1.19512444685659,0.102777777777778
55966,1,4705105,4853851,461,65,802,0.35283,0.36211,1.78495159505184,0.0305555555555556
261734,1,5912870,6062618,334,12,896,-0.13297,0.55289,-0.287591844086191,0.373888888888889
8514,1,6042358,6171253,194,30,775,-0.10552,0.54202,0.644969517325072,0.123333333333333
26038,1,6151847,6250194,236,27,800,0.64004,0.26107,1.05035315257744,0.0866666666666667
6146,1,6235080,6269679,34,6,591,-0.35251,0.63777,-1.05208077237998,0.581111111111111
388591,1,6256189,6291359,25,4,637,0.85474,0.19635,1.97003642513067,0.0644444444444444
23463,1,6271253,6306044,24,4,656,0.97741,0.16418,2.42051237085018,0.0361111111111111
390992,1,6294252,6315638,25,3,554,-0.2133,0.58445,0.498487989704336,0.198888888888889
387509,1,6297406,6331035,44,2,684,-0.66737,0.74773,0.960057852389244,0.172777777777778
11332,1,6314332,6463826,297,15,826,-0.94082,0.8266,1.74390116321156,0.05
54626,1,6465292,6494724,74,6,892,0.10577,0.45788,2.29078179139046,0.0127777777777778
83715,1,6474836,6531004,113,9,739,0.59999,0.27426,-1.26620483972812,0.622222222222222
8718,1,6510787,6537432,35,5,566,1.1042,0.13476,1.15506487346475,0.131666666666667
57449,1,6516152,6590121,135,16,717,1.4653,0.071417,-0.999851127393942,0.526666666666667
79707,1,6571407,6624658,148,3,908,1.2123,0.11269,0.384407204587956,0.177777777777778
80835,1,6604987,6649817,72,4,830,1.0905,0.13774,1.35615510488958,0.0394444444444445
3104,1,6630051,6659340,30,7,728,0.74807,0.22721,2.08157750165401,0.0172222222222222
9903,1,6640784,6672958,27,4,850,0.63911,0.26138,1.26147755077111,0.0866666666666667
148479,1,6663756,6694093,38,5,916,0.93272,0.17548,0.715296652556277,0.113333333333333
55735,1,6684228,6771966,141,10,903,1.0469,0.14757,-1.35977760981791,0.675
23261,1,6835384,7839766,1994,152,864,-0.84797,0.80177,0.860952351877433,0.161111111111111
9341,1,7821329,7851492,73,13,924,-0.55723,0.71131,-1.92898586537146,0.793333333333333
8863,1,7834413,7915241,223,22,909,-0.69288,0.75581,-0.215165547215622,0.415
10911,1,7897672,7923551,79,14,849,-1.2193,0.88863,0.280310593878382,0.154444444444444
11315,1,8011714,8055342,61,6,874,-0.6992,0.75779,-0.514873129958482,0.473888888888889
54206,1,8061779,8096393,40,4,931,-0.96644,0.83309,-1.56947649786912,0.788888888888889
50651,1,8368171,8414227,99,12,759,0.85761,0.19555,1.54049361596919,0.0333333333333333
473,1,8402464,8887699,527,15,901,0.37665,0.35322,1.69596435985893,0.0911111111111111
2023,1,8911059,8949151,52,5,906,1.5777,0.057323,0.143544142089876,0.24
155184,1,9053359,9096404,105,19,772,-0.91165,0.81902,0.830615152061452,0.173888888888889
6518,1,9087005,9141763,129,13,809,0.12244,0.45128,0.488941616106621,0.142777777777778
80045,1,9153472,9199229,85,8,885,1.6166,0.052977,0.523699744106207,0.266111111111111
9563,1,9284822,9341396,159,19,644,0.086708,0.46545,-0.336499699540871,0.408333333333333
80176,1,9325202,9439591,354,48,593,-0.098375,0.53918,-0.072661513767541,0.262222222222222
84275,1,9589528,9652831,57,3,868,0.68551,0.24651,0.338168217612663,0.200555555555556
199953,1,9638932,9684935,40,3,841,-0.27951,0.61007,1.91859314636909,0.0205555555555556
5293,1,9701789,9799172,106,16,572,0.55188,0.29052,0.541993923345543,0.147777777777778
22883,1,9779079,9894550,97,6,808,0.30487,0.38023,-1.54054285610618,0.709444444444444
56998,1,9898334,9980316,49,4,766,0.90744,0.18209,-0.0650762859450108,0.346111111111111
84328,1,9972168,10013460,59,6,783,-0.60718,0.72813,1.00843158991922,0.0972222222222222
64802,1,9993486,10055556,70,7,786,-0.94777,0.82838,1.20590968727215,0.0866666666666667
116362,1,10047255,10086078,27,3,871,-0.75365,0.77447,-0.870145392427169,0.576111111111111
10277,1,10083041,10251297,80,10,848,-1.4485,0.92626,-0.0335593139953249,0.371111111111111
23095,1,10260606,10451664,280,5,911,-0.4031,0.65656,1.70778705781235,0.0761111111111111
5226,1,10448884,10490565,73,7,886,-0.24006,0.59486,0.282768415778242,0.195
378708,1,10479944,10520239,77,6,899,0.47295,0.31812,1.79798894843778,0.0405555555555556
100526739,1,10480159,10522060,77,6,899,0.47295,0.31812,0.561962742763942,0.193888888888889
1325,1,10499776,10522060,27,3,928,0.63032,0.26424,-0.380194930925449,0.408888888888889
1676,1,10510588,10542613,41,7,874,0.96728,0.1667,-1.23129781019532,0.622222222222222
5195,1,10525003,10700815,298,16,868,0.6984,0.24246,0.566607067570533,0.145555555555556
54897,1,10686661,10866733,173,32,658,0.37955,0.35214,-0.0725700734770552,0.355
148345,1,10996530,11052094,130,12,799,1.6981,0.044741,0.170285832323287,0.204444444444444
23435,1,11062462,11095549,53,3,904,0.46261,0.32182,0.749254133929081,0.187777777777778
10747,1,11076580,11117296,41,2,767,0.65255,0.25702,-0.238321553559588,0.406666666666667
6723,1,11104649,11130091,37,2,825,0.47616,0.31698,-0.361671386915822,0.435555555555555
5394,1,11116675,11169961,48,1,897,0.44801,0.32707,1.3379681936072,0.0888888888888889
2475,1,11156588,11332614,126,2,910,-0.19456,0.57713,-1.2113615652232,0.636666666666667
29914,1,11323255,11358491,10,2,773,-0.32623,0.62787,0.351059293733587,0.294444444444444
57540,1,11529295,11607640,162,12,913,1.0031,0.15791,-0.107648826326374,0.381666666666667
26232,1,11697924,11724888,36,10,671,0.11174,0.45552,-0.600389697058464,0.475
93611,1,11704432,11733384,44,9,522,0.012546,0.49499,1.47171214378531,0.0616666666666667
26270,1,11714150,11744411,59,10,530,0.045698,0.48178,-0.261531065511458,0.351666666666667
10459,1,11724537,11761678,65,13,507,0.24402,0.40361,1.66384490352793,0.0716666666666667
374946,1,11741781,11790336,69,12,569,-0.16043,0.56373,0.459213693008584,0.184444444444444
57085,1,11786142,11820828,45,6,663,1.4067,0.079765,-0.351390812096921,0.436666666666667
4524,1,11835787,11876160,178,10,892,0.1718,0.4318,1.65109500410535,0.0855555555555556
1185,1,11856153,11913201,231,16,819,-0.22814,0.59023,2.75355720277527,0.00611111111111112
4878,1,11895766,11917840,76,9,824,-0.92629,0.82285,0.40771964024299,0.130555555555556
4879,1,11907521,11928992,49,7,863,-1.1101,0.86653,0.655842302914994,0.0977777777777778
90231,1,11969645,11996485,70,9,857,-0.91839,0.82079,-0.618303728111022,0.439444444444444
5351,1,11984724,12045599,129,12,853,-0.58686,0.72135,0.949401612567527,0.123333333333333
9927,1,12030238,12083572,129,13,837,-0.1959,0.57766,-0.367904861713128,0.422777777777778
60672,1,12069299,12102106,61,11,843,0.074162,0.47044,0.859057809174444,0.135555555555556
943,1,12113434,12214264,156,27,716,1.0991,0.13587,0.914103109106221,0.0588888888888889
55187,1,12280101,12582099,110,12,657,0.20515,0.41873,0.765358516537112,0.241666666666667
9249,1,12617939,12687820,179,25,764,-0.066597,0.52655,0.854347689202541,0.0777777777777778
343066,1,12694566,12737097,33,3,766,0.36344,0.35814,0.305499695673075,0.29
126767,1,12766118,12798726,75,7,843,-0.75711,0.77551,-0.325301336335727,0.338888888888889
65121,1,12841546,12866777,44,4,522,0.083128,0.46687,0.266385696295077,0.158333333333333
440560,1,12874468,12901264,1,1,934,0.34472,0.36515,-0.422306256361016,0.4
343069,1,12897261,12918578,2,1,931,-0.64801,0.74151,-1.00814597969072,0.611111111111111
65122,1,12906941,12931764,2,1,931,-0.64801,0.74151,0.237306120026199,0.213888888888889
440563,1,13172960,13194326,19,1,415,-0.19734,0.57822,0.879449811692204,0.145555555555556
126755,1,13791445,13850242,163,28,741,-0.66613,0.74733,0.86109312344184,0.0727777777777778
10630,1,13900252,13954452,131,23,796,-0.94338,0.82726,-2.56491999578937,0.817777777777778
7799,1,14016714,14161574,182,18,857,0.2086,0.41738,0.809053149045988,0.150555555555556
23254,1,14209646,15454544,3295,244,805,1.5831,0.056699,2.97348773092561,0.0122222222222222
55092,1,15469028,15556974,421,27,861,-0.36202,0.64133,1.71637839081871,0.0277777777777778
727684,1,15480692,15508120,98,12,879,0.69186,0.24451,0.0395516484398697,0.312222222222222
114827,1,15563730,15734767,354,36,828,0.12721,0.44939,-0.57099069197708,0.461666666666667
79180,1,15726391,15766839,55,11,766,-0.20278,0.58035,0.318237710696958,0.251666666666667
11330,1,15754938,15783153,36,5,618,-0.10322,0.5411,0.230825950165933,0.173888888888889
63036,1,15773223,15808586,75,11,756,0.55657,0.28891,-0.793931747460989,0.510555555555555
51032,1,15792596,15827895,79,7,885,0.42902,0.33395,0.432857989284847,0.116666666666667
842,1,15807896,15861407,160,7,928,0.68974,0.24518,1.00186560277493,0.21
23341,1,15843343,15908228,139,6,923,0.42897,0.33397,0.888215575235591,0.139444444444444
79814,1,15888194,15921605,133,8,914,0.19781,0.4216,0.877925639201881,0.0766666666666667
84301,1,15933953,16005539,136,5,919,-0.941,0.82665,0.617429336338621,0.102222222222222
6248,1,15976364,15998217,39,3,930,-0.9107,0.81877,-0.020272686457433,0.269444444444444
23207,1,16000632,16071264,154,9,903,-1.1524,0.87543,0.398859513102297,0.160555555555556
284723,1,16052721,16077884,39,5,926,0.49422,0.31058,1.35153492167856,0.0472222222222222
388595,1,16058987,16084292,46,7,901,0.57574,0.2824,-1.39379372113476,0.665
54751,1,16073107,16123089,93,12,835,0.33942,0.36715,-0.554205225913905,0.458333333333333
440567,1,16123657,16144194,84,6,919,-0.21653,0.58571,-1.31277329893097,0.656666666666667
23013,1,16164359,16276951,156,15,914,0.39182,0.34759,0.149344136029498,0.39
7709,1,16258364,16312627,78,11,917,0.29856,0.38264,0.335967469801835,0.142222222222222
27129,1,16330523,16356084,111,10,930,0.61251,0.2701,1.16436655260928,0.14
1187,1,16338486,16370548,159,15,871,1.0851,0.13894,3.3039532951021,0.00333333333333334
1188,1,16360231,16393821,162,16,752,0.48187,0.31495,2.19887318978955,0.0216666666666667
348487,1,16374264,16410127,130,12,778,0.21304,0.41565,1.69131418396492,0.0294444444444445
1969,1,16440832,16492582,65,10,800,1.1178,0.13182,0.269188449585727,0.162777777777778
128272,1,16514599,16549104,109,7,920,-1.3627,0.91351,-0.566089172482694,0.494444444444444
79363,1,16548182,16573659,41,4,887,0.70042,0.24183,-0.295393777387827,0.323333333333333
54455,1,16563339,16688965,212,8,925,0.3072,0.37934,0.495014396588585,0.241666666666667
26099,1,16683525,16734643,102,9,902,-0.10042,0.54,1.23291371694874,0.170555555555556
374955,1,16712101,16773919,123,17,810,-0.63528,0.73738,0.3366153050166,0.141111111111111
55707,1,16757167,16796585,71,8,845,-0.93973,0.82632,0.396734436881218,0.183333333333333
9696,1,17238445,17309474,119,11,762,-1.277,0.89919,2.00542573257178,0.0177777777777778
4237,1,17290997,17318081,50,8,781,-0.6929,0.75581,0.827749369210866,0.0666666666666667
23400,1,17302453,17348467,72,8,847,-0.36516,0.6425,1.5030054576391,0.0394444444444444
6390,1,17335217,17390665,133,10,901,-0.0326,0.513,1.06530857270054,0.105555555555556
11240,1,17383256,17455948,246,13,811,-1.2364,0.89185,0.996032031410937,0.159444444444444
29943,1,17521621,17582501,166,29,812,-1.0416,0.8512,-0.333883311385326,0.438333333333333
51702,1,17565593,17620728,213,26,903,-0.70133,0.75845,0.237425326474585,0.169444444444444
23569,1,17624690,17700495,335,21,870,0.82042,0.20599,0.794038956866715,0.085
353238,1,17688741,17738195,185,13,855,-0.16418,0.56521,1.67098555187161,0.0705555555555556
55920,1,17723251,17776250,99,7,884,0.26077,0.39714,0.559344304917919,0.212777777777778
55160,1,17836693,18034370,305,24,832,1.0128,0.15557,-0.130931728226481,0.327777777777778
84966,1,18424240,18714977,705,86,800,-0.11987,0.54771,0.267147436602549,0.157777777777778
127707,1,18797424,18822540,93,11,926,0.30009,0.38205,1.50171916196798,0.0483333333333333
5081,1,18947500,19085360,219,31,749,-0.54337,0.70656,-0.617698265188841,0.45
80834,1,19156093,19196155,144,19,774,-1.21,0.88687,-0.127321805249233,0.272777777777778
8659,1,19187924,19239293,44,5,485,0.53331,0.29691,1.0061296421087,0.133888888888889
126917,1,19220774,19292826,147,17,676,-0.36011,0.64062,0.427728041686438,0.205555555555556
23352,1,19391000,19546812,211,13,908,-0.076783,0.5306,0.591217223410542,0.19
23065,1,19532158,19588053,122,12,860,0.5278,0.29882,1.0794787710643,0.146111111111111
51154,1,19568075,19596622,89,11,811,0.35069,0.36291,0.270417633647232,0.361666666666667
22977,1,19599057,19625280,41,9,901,-1.1025,0.86488,0.74224809009255,0.1
8574,1,19619202,19648640,68,13,683,0.54885,0.29155,-0.610931336918165,0.459444444444444
54896,1,19628740,19668925,110,13,777,-0.25288,0.59982,0.934050639104593,0.19
832,1,19655267,19822066,404,16,900,-0.60697,0.72806,-0.999999934128628,0.57
440574,1,19913471,19966315,104,13,924,-0.060728,0.52421,-0.875442696672265,0.568333333333333
4681,1,19959723,19994949,75,14,773,-0.25153,0.5993,-0.628051333079143,0.506111111111111
3362,1,19981780,20016055,74,6,889,-0.85116,0.80266,1.26191224040812,0.102222222222222
255104,1,19998706,20136424,262,24,845,-0.286,0.61256,-1.25583981580448,0.628888888888889
54546,1,20130522,20151771,37,8,825,-0.47844,0.68383,0.615697020282806,0.0977777777777778
23252,1,20198356,20249438,94,13,895,-1.0204,0.84622,1.47996148709331,0.095
30814,1,20236800,20260110,52,10,880,-0.13022,0.5518,0.690055688614919,0.0938888888888889
5320,1,20291924,20316932,69,12,873,-0.3942,0.65328,-0.07720210879404,0.263888888888889
5322,1,20376157,20428394,144,18,926,-1.3864,0.91719,0.172660427189984,0.198888888888889
64600,1,20455823,20486879,35,9,727,-0.16282,0.56467,1.02206476729402,0.0511111111111111
391013,1,20480484,20511687,56,10,810,-0.13535,0.55383,-1.6009781020942,0.732777777777778
127733,1,20502578,20532540,21,2,821,-1.3249,0.9074,-0.357101934947833,0.376111111111111
127731,1,20607412,20691662,257,20,884,-0.12414,0.5494,0.202855282778983,0.263888888888889
55450,1,20798884,20822728,32,7,924,-0.64695,0.74117,0.493490882138665,0.152222222222222
79594,1,20815941,20844674,48,7,925,-0.64206,0.73958,-0.493133461868306,0.377777777777778
163933,1,20868932,20891513,79,14,817,-1.0922,0.86263,0.296577664930453,0.151111111111111
978,1,20905444,20955401,236,23,895,1.1454,0.12601,0.408638918948241,0.123333333333333
65018,1,20949948,20988004,122,12,897,0.9396,0.17371,1.06432780596661,0.163333333333333
1650,1,20968260,20998037,84,10,882,0.82002,0.2061,-0.852593307197694,0.531666666666667
57576,1,20980475,21054317,159,32,739,0.46162,0.32218,-0.100656452218622,0.288888888888889
400745,1,21036225,21069133,63,9,787,-0.42266,0.66373,-0.887685380068987,0.555
50809,1,21059170,21123808,60,3,903,-0.29554,0.61621,-0.0240246287730708,0.32
8672,1,21122785,21513381,405,8,897,-0.26156,0.60317,1.08148515087541,0.212777777777778
1889,1,21533740,21682034,295,29,848,0.44841,0.32693,-0.0863429744405364,0.379444444444444
84224,1,21756583,21821393,131,9,826,-0.72123,0.76462,-0.292500640804144,0.383888888888889
249,1,21825475,21914905,297,27,870,-0.1216,0.54839,1.20361757620661,0.0677777777777778
5909,1,21912708,22006010,245,43,850,-0.0088951,0.50355,1.08606626702031,0.116666666666667
84196,1,21994791,22119688,284,20,900,0.48346,0.31438,0.217312768328989,0.247222222222222
401944,1,22128758,22161714,71,17,738,1.3745,0.084645,-0.979281270409031,0.575
3339,1,22138737,22273750,241,23,830,1.1438,0.12636,2.5525016585659,0.0366666666666667
23436,1,22293418,22325847,134,7,717,-1.3131,0.90543,0.242615127261001,0.167222222222222
10136,1,22318149,22349035,77,7,456,-0.82181,0.79441,0.245217031968247,0.284444444444444
998,1,22369120,22429439,114,11,868,1.3004,0.09673,0.762963510268747,0.107777777777778
54361,1,22433798,22480474,91,12,890,1.6761,0.046857,1.87207680866455,0.0444444444444445
9923,1,22768344,22867650,101,8,895,-0.82679,0.79582,1.08121682212237,0.180555555555555
2046,1,22880004,22940087,148,18,839,-0.99016,0.83895,0.823620047343645,0.150555555555556
714,1,22959969,22984603,79,7,885,-0.35895,0.64018,-0.422868494109372,0.413333333333333
713,1,22969682,22998130,75,8,886,-0.39267,0.65272,-0.870375782207239,0.576111111111111
2048,1,23027263,23251823,358,37,850,-0.42133,0.66324,1.18780380359619,0.171666666666667
646262,1,23269536,23309524,83,10,833,-0.71699,0.76331,-0.321282140587023,0.442777777777778
729059,1,23327327,23352343,30,4,849,-0.4386,0.66952,-1.32958782403156,0.728888888888889
23028,1,23335937,23420184,88,6,871,-0.54034,0.70552,0.171068275024886,0.202777777777778
7798,1,23400516,23514301,184,14,905,-0.4281,0.66571,1.87776166473771,0.0288888888888889
10236,1,23625953,23681143,36,4,885,-0.30181,0.6186,1.41730612314947,0.14
80818,1,23675941,23706357,54,6,922,-0.74762,0.77266,-0.866121511747139,0.541666666666667
6920,1,23697555,23761269,105,15,830,-0.83682,0.79865,-1.9392572449501,0.751666666666667
55616,1,23745056,23820750,149,11,695,-0.19363,0.57677,2.28976214459442,0.0377777777777778
1870,1,23822920,23867712,65,10,832,0.078663,0.46865,0.780588358700681,0.186111111111111
3399,1,23874421,23896285,28,6,716,-0.85281,0.80312,0.238194185850351,0.169444444444444
6135,1,24008269,24032915,23,4,594,1.1109,0.1333,-0.472959013480914,0.402222222222222
6924,1,24059856,24098549,22,5,826,-0.074103,0.52954,1.17088640982661,0.120555555555556
57095,1,24094876,24124722,9,2,931,-1.3491,0.91135,0.640650537275153,0.141666666666667
11313,1,24107275,24132029,8,2,863,-1.9779,0.97603,0.259447937472761,0.283333333333333
2582,1,24112089,24137294,15,3,894,-1.908,0.9718,1.20276513703936,0.0811111111111111
3155,1,24118367,24175110,52,3,902,-1.466,0.92867,1.22782023817347,0.0777777777777778
2517,1,24161567,24204859,115,4,557,-1.1206,0.86876,1.15892897786124,0.114444444444444
1269,1,24187005,24295549,89,4,390,-1.0276,0.84793,1.84379771564823,0.0211111111111111
127294,1,24372531,24448665,199,19,887,-0.64489,0.7405,0.529567035453721,0.182777777777778
58985,1,24436261,24479783,100,15,858,0.14004,0.44432,-1.29334990550038,0.676111111111111
163702,1,24470647,24523765,135,18,836,-0.57239,0.71647,0.219955331436597,0.241666666666667
57822,1,24635812,24700972,104,18,679,0.23207,0.40824,-0.494427307167072,0.431111111111111
90529,1,24673489,24751587,164,13,867,0.17185,0.43178,0.416012376088434,0.177777777777778
57185,1,24732245,24809473,176,14,878,0.33664,0.3682,1.72086676277227,0.128333333333333
11123,1,24818841,24873510,84,7,899,0.43305,0.33249,2.00683788860036,0.0344444444444445
400746,1,24872567,24945819,248,30,868,-0.37421,0.64587,0.280537685031537,0.266111111111111
10250,1,24959594,25009772,13,3,548,-0.22486,0.58895,-1.78122091188645,0.711111111111111
25932,1,25061760,25180815,78,3,902,0.52707,0.29907,0.303617589731574,0.241111111111111
864,1,25216002,25301648,156,19,809,-0.91458,0.81979,1.31305545666316,0.0511111111111111
25949,1,25538767,25569013,2,1,929,0.10631,0.45767,-0.0303048382006356,0.238888888888889
57035,1,25558740,25584010,5,2,467,-0.31561,0.62385,1.2654524676312,0.0816666666666667
6007,1,25588884,25666936,2,1,647,-0.43416,0.66792,1.03549389786551,0.156111111111111
23585,1,25654789,25698852,15,1,890,-1.1779,0.88059,-1.51892061667731,0.699444444444444
55219,1,25747388,25836700,103,2,670,-0.63108,0.73601,-1.95725649319616,0.796666666666667
26119,1,25860071,25905377,37,3,805,-1.0702,0.85773,1.72442453900812,0.113333333333333
57134,1,25933959,26121258,195,18,873,-1.1997,0.88486,1.40711858984573,0.0666666666666667
57190,1,26116667,26154713,76,5,855,-0.86985,0.80781,-0.0575832555921161,0.295
56181,1,26136397,26169433,62,2,923,-0.78506,0.78379,0.105066429801163,0.302222222222222
79000,1,26148414,26195939,84,2,919,-0.64981,0.74209,0.926347684729378,0.0705555555555556
164091,1,26177975,26212461,39,3,874,-0.32093,0.62587,0.983333096327998,0.0677777777777778
3925,1,26200670,26243368,45,3,848,0.054739,0.47817,-0.183888798958904,0.270555555555556
5051,1,26276258,26336366,108,5,915,0.76639,0.22172,-0.670535771119476,0.481111111111111
2134,1,26338266,26372955,48,5,894,1.9767,0.024038,-0.778887190886228,0.524444444444444
7780,1,26354513,26383439,49,4,905,2.1925,0.014171,1.08678611826916,0.0933333333333334
84676,1,26367792,26404142,77,5,907,3.3649,0.00038288,0.0950281604335657,0.237222222222222
149420,1,26427656,26462039,78,2,891,3.1433,0.00083529,0.707285319929523,0.104444444444444
79927,1,26475511,26499119,54,8,840,2.489,0.0064053,1.12292834264057,0.0438888888888889
51042,1,26486388,26507364,55,6,902,2.7436,0.0030388,0.577473723863502,0.143333333333333
10256,1,26493981,26526375,90,10,897,2.7742,0.0027669,0.798455744290149,0.07
378807,1,26507119,26539033,80,13,902,2.7221,0.0032435,1.41675357346835,0.0316666666666667
64793,1,26550644,26615529,186,13,872,1.9162,0.027668,1.64131180300764,0.0911111111111111
83442,1,26596213,26618013,71,8,857,2.0776,0.018871,1.44915133002311,0.0722222222222222
91544,1,26598773,26654756,167,11,891,2.053,0.020036,0.940241420081086,0.0633333333333334
1043,1,26634411,26657014,73,9,911,2.2312,0.012834,-0.1164949261328,0.299444444444444
55057,1,26638350,26690621,163,19,910,2.3876,0.0084786,1.02060866558587,0.0638888888888889
